"ensembl","symbol","kME"
"ENSG00000169564","PCBP1",0.915633642419105
"ENSG00000233426","EIF3FP3",0.912413960478305
"ENSG00000149476","TKFC",0.908244748695738
"ENSG00000105568","PPP2R1A",0.904046804881342
"ENSG00000213702",NA,0.899209248882448
"ENSG00000115446","UNC50",0.898769349136294
"ENSG00000126461","SCAF1",0.897620755691993
"ENSG00000146063","TRIM41",0.895509535639097
"ENSG00000110108","TMEM109",0.894982452945066
"ENSG00000239779","WBP1",0.893255811928914
"ENSG00000155256","ZFYVE27",0.891793094310696
"ENSG00000257704","INAFM1",0.881815851491376
"ENSG00000149930","TAOK2",0.879660470776554
"ENSG00000169964","TMEM42",0.878343325541006
"ENSG00000249774",NA,0.877696429335646
"ENSG00000100647","SUSD6",0.877560325987439
"ENSG00000130479","MAP1S",0.876681907493709
"ENSG00000226396",NA,0.876300796513559
"ENSG00000213398","LCAT",0.87628544095509
"ENSG00000224578","HNRNPA1L3",0.87296664020099
